tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
QJLxbnqj2sl	Child upset stomach night PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64525-9	LOINC	Qualified	False
mkMWzh9o3ie	Child use cigarette tobacco PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64570-5	LOINC	Qualified	False
mkmWz3qo3je	Child use cigarette tobacco list PhenX			Text		PhenX > Miscellaneous		LOINC:64571-3	LOINC	Qualified	False
m1nGh9s2se	Child usually nap day PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64551-5	LOINC	Qualified	False
7keZ0Lqi3se	Child vaccinations PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66391-4	LOINC	Qualified	False
7kqe0Icinoe	Child vaccine reaction PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66385-6	LOINC	Qualified	False
Xy2iv5o2oe	Child vision problem PhenX			Value List	Amblyopia | Strabismus | Myopia or nearsightedness | Glaucoma | Retinopathy of prematurity | Tumor | Retinoblastoma	PhenX > Miscellaneous		LOINC:64757-8	LOINC	Qualified	False
7176w5onog	Child vitamins W fluoride PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:63992-2	LOINC	Qualified	False
Xyfnqj3il	Child wake multiple times PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64538-2	LOINC	Qualified	False
XJalb3qjhix	Child wake screaming night PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64532-5	LOINC	Qualified	False
XkLbn5j3il	Child wake snorting PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64509-3	LOINC	Qualified	False
mJRz25j3oe	Child wake up headache morn PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64553-1	LOINC	Qualified	False
mJdG2cjhix	Child wake up unrefreshed PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64547-3	LOINC	Qualified	False
Qyzs99i2sx	Child war LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67107-3	LOINC	Qualified	False
QJFl_35s2sx	Child wet bed PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64528-3	LOINC	Qualified	False
mJIeio5jnsx	Child wheeze exercise 12Mo PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64400-5	LOINC	Qualified	False
7JVesjqo3sx	Child wheeze limit speech 12Mo PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64398-1	LOINC	Qualified	False
71Xlsj5ohsl	Child wheeze sleep disturb 12Mo PhenX			Value List	1=Never woken with this problem | 2=Less than one night per week | 3=One or more nights per week	PhenX > Miscellaneous		LOINC:64397-3	LOINC	Qualified	False
Q1ggosqjnse	Child wheezing chest ever PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64281-9	LOINC	Qualified	False
X1bxioqonje	Child wheezing last 12Mo PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64282-7	LOINC	Qualified	False
7kGliocsnog	Child wheezing times 12Mo PhenX			Value List	1=None | 2=1 to 3 | 3=4 to 12 | 4=More than 12	PhenX > Miscellaneous		LOINC:64283-5	LOINC	Qualified	False
7ycncjhix	Child whole picture over details AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65078-8	LOINC	Qualified	False
Q1Jeic5ihoe	Child witnessed murder LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67117-2	LOINC	Qualified	False
7yXli9cjnsg	Child witnessed sexual attack LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67121-4	LOINC	Qualified	False
mkMxi5co3og	Child witnessed threats LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67120-6	LOINC	Qualified	False
QyegkDci2ie	Child's age at reference date			Number		PhenX > Miscellaneous		LOINC:63788-4	LOINC	Qualified	False
Qk7h5cjhox	Child's family diff learn read PhenX		e.g. repeated a grade	Value List	0=No | 1=Yes | 99=Don't know	PhenX > Miscellaneous		LOINC:67302-0	LOINC	Qualified	False
KHmtAVGc1Vk	Childbearing potential indicator		Indicator of whether the participant/subject is of childbearing potential.	Value List	Yes | No | Unknown	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C10980; BRICS Variable Name:ChldbrngPtntlInd	NINDS	Qualified	False
bg87mAJ0UkB	Childbearing potential sterile reason		Explanation of why the female participant/subject is not of childbearing potential.	Value List	Surgically sterile | Non-surgically sterile | Post menopausal for at least one year	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C10982; BRICS Variable Name:ChldbrngPotentSterilRsn	NINDS	Qualified	False
2G8E4CDOxSH	Childbearing potential surgically sterile other text		The free-text field related to 'Childbearing potential surgically sterile type' specifying other text. Type of surgical procedure that rendered the participant/subject sterile.	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C18818; BRICS Variable Name:ChldbrngPotentSurgSterilOTH	NINDS	Qualified	False
dOadMHcwUFx	Childbearing potential surgically sterile type		Type of surgical procedure that rendered the participant/subject sterile.	Value List	Hysterectomy | Tubal ligation | Other, specify	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C10983; BRICS Variable Name:ChldbrngPotentSurgSterilTyp	NINDS	Qualified	False
9Ez9Hz81qfT	Childhood AIS standardized classification and diagnostic evaluation (CASCADE) - primary chronic sub type		"Childhood AIS standardized classification and diagnostic evaluation (CASCADE) primary classification: chronic - patients with an initial vascular diagnosis (at 0-1 month) for ""Primary Classification: Acute"" are given a follow-up diagnosis based on studies obtained at or after 3-6 months that will capture any progression, stability or regression of the arteriopathy."	Value List	Progressive Arteriopathy | Stable Arteriopathy | Reversible Arteriopathy | Indeterminate Arteriopathy	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C14263; BRICS Variable Name:CASCADEPrimryChrncSubTyp	NINDS	Qualified	False
wJ54frK_B	Childhood AIS standardized classification and diagnostic evaluation (CASCADE) - standard primary acute sub type		Childhood AIS Standardized Classification and Diagnostic Evaluation (CASCADE) Primary Classification: Acute - All patients with defined childhood arterial ischemic stroke will be classified into a single acute primary category, at the time of initial diagnosis (within 1 month of presentation).	Value List	Small vessel arteriopathy of childhood (SVA) | Unilateral focal cerebral arteriopathy of childhood (FCA) | Bilateral cerebral arteriopathy of childhood | Aortic/ cervical arteriopathy | Cardio- embolic | Other | Multi-factorial | Undetermined etiology	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C14261; BRICS Variable Name:CASCADEStandPrimryAcuteSubTyp	NINDS	Qualified	False
Qy6xPK5o3jx	Children don't do well school PhenX			Value List	Not true | Somewhat true | Very true	PhenX > Miscellaneous		LOINC:67069-5	LOINC	Qualified	False
XkCgwFcjnoe	Children don't help PhenX			Value List	Not true | Somewhat true | Very true	PhenX > Miscellaneous		LOINC:67070-3	LOINC	Qualified	False
QyjgvFcj3sl	Children don't listen PhenX			Value List	Not true | Somewhat true | Very true	PhenX > Miscellaneous		LOINC:67067-9	LOINC	Qualified	False
Q1kbvK9o2se	Children spend much time away PhenX			Value List	Not true | Somewhat true | Very true	PhenX > Miscellaneous		LOINC:67071-1	LOINC	Qualified	False
my_hsIKp6I	Children under 18 years age count		Count of the number of children the participant/subject has under 18 years of age	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C58327; BRICS Variable Name:ChildUnder18YrAgeCt	NINDS	Qualified	False
Q1jeri5ohog	Children with hearing difficulties PhenX			Value List	0=No | 1=Yes	PhenX > Miscellaneous		LOINC:67465-5	LOINC	Qualified	False
myteHjco3jx	Children with normal hearing PhenX			Value List	0=No | 1=Yes	PhenX > Miscellaneous		LOINC:67418-4	LOINC	Qualified	False
my7gMhco2ol	Childs tonsil removed date PhenX			Text		PhenX > Miscellaneous		LOINC:64557-2	LOINC	Qualified	False
XkElzh5ihig	Childs tonsils removed reason PhenX			Text		PhenX > Miscellaneous		LOINC:64558-0	LOINC	Qualified	False
7JGd9r9WHI	Chlamydia sp DNA [Presence] in Unspecified specimen by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14250-2; LOINC - Part - Component:LP37611-8; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP21232-1	LOINC:35729-3	NLM	Standard	False
QJgH9BcWrU	Chlamydia trachomatis DNA [Identifier] in Unspecified specimen by NAA with probe detection			Value List	Serovar D | Serovar E | Serovar F	External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP6850-4; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7750-5; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:47212-6	NLM	Standard	False
Qkd5H9WBL	Chlamydia trachomatis DNA [Presence] in Cervical mucus by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7161-5; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:21189-6	NLM	Standard	False
7yQw5SqZH8	Chlamydia trachomatis DNA [Presence] in Cervix by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7162-3; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:21190-4	NLM	Standard	False
XkV5H5ZSI	Chlamydia trachomatis DNA [Presence] in Genital specimen by NAA with probe detection		3 subspecies cause LGV	Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7261-3; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:6356-0	NLM	Standard	False
QyxPcBqZrI	Chlamydia trachomatis DNA [Presence] in Unspecified specimen by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:21613-5	NLM	Standard	False
71ZI9BcbBU	Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe with signal amplification			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6463-6; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:43404-3	NLM	Standard	False
7JfvqHqbH8	Chlamydia trachomatis DNA [Presence] in Urethra by NAA with probe detection			Value List	Positive | Negative	External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP30364-1; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:21191-2	NLM	Standard	False
71XQcr5_S8	Chlamydia trachomatis DNA [Presence] in Urine by NAA with probe detection		3 subspecies cause LGV	Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7681-2; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:6357-8	NLM	Standard	False
X1zBqS5Zr8	Chlamydia trachomatis DNA [Presence] in Vaginal fluid by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7271-2; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:45084-1	NLM	Standard	False
QyHqS9Zr8	Chlamydia trachomatis DNA [Units/volume] in Unspecified specimen by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37618-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP6773-8; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7753-9; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Multipart:LP34329-0	LOINC:49096-1	NLM	Standard	False
Q1ZHqScbBL	Chlamydia trachomatis L2 DNA [Presence] in Unspecified specimen by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP21107-5; LOINC - Part - Component:LP57526-3; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:47211-8	NLM	Standard	False
Qy_yoHqWrU	Chlamydia trachomatis and Neisseria gonorrhoeae DNA [Identifier] in Unspecified specimen by NAA with probe detection			Value List	Chlamydia trachomatis detected | Chlamydia trachomatis not detected | Chlamydia trachomatis inconclusive | Chlamydia trachomatis equivocal | Neisseria gonorrhoeae detected | Neisseria gonorrhoeae not detected | Neisseria gonorrhoeae inconclusive | Neisseria gonorrhoeae equivocal	External Forms > FPAR	LOINC - Part - Component:LP115359-4; LOINC - Part - Component:LP157729-7; LOINC - Part - Suffix:LP32416-7; LOINC - Part - Property:LP6850-4; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7750-5; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8	LOINC:36903-3	NLM	Standard	False
7JzVqS5WrL	Chlamydia trachomatis rRNA [Presence] in Cervix by NAA with probe detection			Value List	Positive | Negative	External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7162-3; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6; LOINC - Part - Multipart:LP35389-3	LOINC:50387-0	NLM	Standard	False
mke89HcZSU	Chlamydia trachomatis rRNA [Presence] in Cervix by Probe			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7162-3; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6459-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6	LOINC:45078-3	NLM	Standard	False
m1vcrqbS8	Chlamydia trachomatis rRNA [Presence] in Genital fluid by Probe			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7263-9; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6459-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6	LOINC:23838-6	NLM	Standard	False
X1WO9B9bHU	Chlamydia trachomatis rRNA [Presence] in Genital specimen by Probe			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7261-3; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6459-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6	LOINC:16600-9	NLM	Standard	False
7JGLqB9ZBU	Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by NAA with probe detection			Value List	Detected | Not detected | Equivocal | Inconclusive	External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6; LOINC - Part - Multipart:LP35389-3	LOINC:43304-5	NLM	Standard	False
7kQV5S9WrI	Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by Probe		3 subspecies cause LGV	Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP7735-6; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6459-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6	LOINC:4993-2	NLM	Standard	False
XJWN9B9brL	Chlamydia trachomatis rRNA [Presence] in Urethra by NAA with probe detection			Text		External Forms > FPAR	LOINC - Part - Component:LP14298-1; LOINC - Part - Component:LP37619-1; LOINC - Part - Suffix:LP32424-1; LOINC - Part - Property:LP217195-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP30364-1; LOINC - Part - Scale:LP7751-3; LOINC - Part - Method:LP6464-4; LOINC - Part - Fragments for synonyms:LP20682-8; LOINC - Part - Fragments for synonyms:LP34185-6; LOINC - Part - Multipart:LP35389-3	LOINC:53925-4	NLM	Standard	False
